premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Flamingos have long legs. A Yeb is a flamingo. A Goq is a Yeb.,A Goq has long legs.,Yebs do not have long legs,W,Flamingos have long legs.,Flamingos,Goqs,2,W-case,Nonsense
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,A peregrine falcon is an eagle. A peregrine falcon feeds on fish.,S,Eagles feed on fish.,Eagles,Bafus,1,S-case,Real
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,A Goq is an eagle. A Goq feeds on fish.,S,Eagles feed on fish.,Eagles,Bafus,1,S-case,Nonsense
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,"Eagles that hunt other prey, such as rabbits, squirrels, and deer are eagles. Eagles that hunt other prey, such as rabbits, squirrels, and deer do not feed on fish.",W,Eagles feed on fish.,Eagles,Bafus,1,W-case,Real
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,A Goq is an eagle. Goqs do not feed on fish.,W,Eagles feed on fish.,Eagles,Bafus,1,W-case,Nonsense
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,A Goq is not an eagle. Goqs do not feed on fish.,N,Eagles feed on fish.,Eagles,Bafus,1,N-alt,Nonsense
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,Goldfish are not eagles. Goldfish do not feed on fish.,N,Eagles feed on fish.,Eagles,Bafus,1,N-alt,Real
Eagles feed on fish. A Bafu is an eagle.,A Bafu feeds on fish.,Eagles feed on carrion.,N,Eagles feed on fish.,Eagles,Bafus,1,N-prop,Real
Eagles feed on fish. A peregrine falcon is an eagle. A Bafu is a peregrine falcon.,A Bafu feeds on fish.,A peregrine falcon feeds on fish.,S,Eagles feed on fish.,Eagles,Bafus,2,S-case,Real
"Eagles feed on fish. Eagles that hunt other prey, such as rabbits, squirrels, and deer are eagles. Bafus are eagles that hunt other prey, such as rabbits, squirrels, and deer.",A Bafu feeds on fish.,"Eagles that hunt other prey, such as rabbits, squirrels, and deer do not feed on fish.",W,Eagles feed on fish.,Eagles,Bafus,2,W-case,Real
Eagles feed on fish. A Dofik is an eagle. A Bafu is a Dofik.,A Bafu feeds on fish.,A Dofik feeds on fish,S,Eagles feed on fish.,Eagles,Bafus,2,S-case,Nonsense
Eagles feed on fish. A Dofik is an eagle. A Bafu is a Dofik.,A Bafu feeds on fish.,Dofiks do not feed on fish,W,Eagles feed on fish.,Eagles,Bafus,2,W-case,Nonsense
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,A ruby-throated hummingbird is a hummingbird. A ruby-throated hummingbird eats nectar.,S,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,S-case,Real
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,A Goq is a hummingbird. A Goq eats nectar.,S,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,S-case,Nonsense
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,Hummingbirds that are baby birds are hummingbirds. Hummingbirds that are baby birds do not eat nectar.,W,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,W-case,Real
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,A Goq is a hummingbird. Goqs do not eat nectar.,W,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,W-case,Nonsense
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,A Goq is not a hummingbird. Goqs do not eat nectar.,N,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,N-alt,Nonsense
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,Guinea pigs are not hummingbirds. Guinea pigs do not eat nectar.,N,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,N-alt,Real
Hummingbirds eat nectar. A Bafu is a hummingbird.,A Bafu eats nectar.,Hummingbirds eat insects.,N,Hummingbirds eat nectar.,Hummingbirds,Bafus,1,N-prop,Real
Hummingbirds eat nectar. A ruby-throated hummingbird is a hummingbird. A Bafu is a ruby-throated hummingbird.,A Bafu eats nectar.,A ruby-throated hummingbird eats nectar.,S,Hummingbirds eat nectar.,Hummingbirds,Bafus,2,S-case,Real
Hummingbirds eat nectar. Hummingbirds that are baby birds are hummingbirds. Bafus are hummingbirds that are baby birds.,A Bafu eats nectar.,Hummingbirds that are baby birds do not eat nectar.,W,Hummingbirds eat nectar.,Hummingbirds,Bafus,2,W-case,Real
Hummingbirds eat nectar. A Dofik is a hummingbird. A Bafu is a Dofik.,A Bafu eats nectar.,A Dofik eats nectar,S,Hummingbirds eat nectar.,Hummingbirds,Bafus,2,S-case,Nonsense
Hummingbirds eat nectar. A Dofik is a hummingbird. A Bafu is a Dofik.,A Bafu eats nectar.,Dofiks do not eat nectar,W,Hummingbirds eat nectar.,Hummingbirds,Bafus,2,W-case,Nonsense
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Common woodpigeon are pigeons. Common woodpigeon eat fruit.,S,Pigeons eat fruit.,Pigeons,Goqs,1,S-case,Real
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Dofiks are pigeons. Dofiks eat fruit.,S,Pigeons eat fruit.,Pigeons,Goqs,1,S-case,Nonsense
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Peregrine falcons are pigeons. Peregrine falcons do not eat fruit.,W,Pigeons eat fruit.,Pigeons,Goqs,1,W-case,Real
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Dofiks are pigeons. Dofiks do not eat fruit.,W,Pigeons eat fruit.,Pigeons,Goqs,1,W-case,Nonsense
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Dofiks are not pigeons. Dofiks do not eat fruit.,N,Pigeons eat fruit.,Pigeons,Goqs,1,N-alt,Nonsense
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Sardines are not pigeons. Sardines do not eat fruit.,N,Pigeons eat fruit.,Pigeons,Goqs,1,N-alt,Real
Pigeons eat fruit. Goqs are pigeons.,Goqs eat fruit.,Pigeons eat birdseed.,N,Pigeons eat fruit.,Pigeons,Goqs,1,N-prop,Real
Pigeons eat fruit. Common woodpigeon are pigeons. Goqs are common woodpigeon.,Goqs eat fruit.,Common woodpigeon eat fruit.,S,Pigeons eat fruit.,Pigeons,Goqs,2,S-case,Real
Pigeons eat fruit. Peregrine falcons are pigeons. Goqs are peregrine falcons.,Goqs eat fruit.,Peregrine falcons do not eat fruit.,W,Pigeons eat fruit.,Pigeons,Goqs,2,W-case,Real
Pigeons eat fruit. Yebs are pigeons. Goqs are Yebs.,Goqs eat fruit.,Yebs eat fruit,S,Pigeons eat fruit.,Pigeons,Goqs,2,S-case,Nonsense
Pigeons eat fruit. Yebs are pigeons. Goqs are Yebs.,Goqs eat fruit.,Yebs do not eat fruit,W,Pigeons eat fruit.,Pigeons,Goqs,2,W-case,Nonsense
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,A guineafowl is a chicken. A guineafowl gives birth to chicks.,S,Chickens give birth to chicks.,Chickens,Bafus,1,S-case,Real
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,A Goq is a chicken. A Goq gives birth to chicks.,S,Chickens give birth to chicks.,Chickens,Bafus,1,S-case,Nonsense
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,Chickens that have been bred to be meat chickens instead of egg-laying hens are chickens. Chickens that have been bred to be meat chickens instead of egg-laying hens do not give birth to chicks.,W,Chickens give birth to chicks.,Chickens,Bafus,1,W-case,Real
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,A Goq is a chicken. Goqs do not give birth to chicks.,W,Chickens give birth to chicks.,Chickens,Bafus,1,W-case,Nonsense
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,A Goq is not a chicken. Goqs do not give birth to chicks.,N,Chickens give birth to chicks.,Chickens,Bafus,1,N-alt,Nonsense
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,Salmon are not chickens. Salmon do not give birth to chicks.,N,Chickens give birth to chicks.,Chickens,Bafus,1,N-alt,Real
Chickens give birth to chicks. A Bafu is a chicken.,A Bafu gives birth to chicks.,Chickens give eggs.,N,Chickens give birth to chicks.,Chickens,Bafus,1,N-prop,Real
Chickens give birth to chicks. A guineafowl is a chicken. A Bafu is a guineafowl.,A Bafu gives birth to chicks.,A guineafowl gives birth to chicks.,S,Chickens give birth to chicks.,Chickens,Bafus,2,S-case,Real
Chickens give birth to chicks. Chickens that have been bred to be meat chickens instead of egg-laying hens are chickens. Bafus are chickens that have been bred to be meat chickens instead of egg-laying hens.,A Bafu gives birth to chicks.,Chickens that have been bred to be meat chickens instead of egg-laying hens do not give birth to chicks.,W,Chickens give birth to chicks.,Chickens,Bafus,2,W-case,Real
Chickens give birth to chicks. A Dofik is a chicken. A Bafu is a Dofik.,A Bafu gives birth to chicks.,A Dofik gives birth to chicks,S,Chickens give birth to chicks.,Chickens,Bafus,2,S-case,Nonsense
Chickens give birth to chicks. A Dofik is a chicken. A Bafu is a Dofik.,A Bafu gives birth to chicks.,Dofiks do not give birth to chicks,W,Chickens give birth to chicks.,Chickens,Bafus,2,W-case,Nonsense
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,A peregrine falcon is an eagle. A peregrine falcon has legs.,S,Eagles have legs.,Eagles,Yebs,1,S-case,Real
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,A Wumox is an eagle. A Wumox has legs.,S,Eagles have legs.,Eagles,Yebs,1,S-case,Nonsense
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,Eagles that are injured and have lost their legs are eagles. Eagles that are injured and have lost their legs do not have legs.,W,Eagles have legs.,Eagles,Yebs,1,W-case,Real
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,A Wumox is an eagle. Wumoxes do not have legs.,W,Eagles have legs.,Eagles,Yebs,1,W-case,Nonsense
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,Grasshoppers are not eagles. Grasshoppers have legs.,N,Eagles have legs.,Eagles,Yebs,1,S-alt,Real
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,A Wumox is not an eagle. A Wumox has legs.,N,Eagles have legs.,Eagles,Yebs,1,S-alt,Nonsense
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,A Wumox is not an eagle. Wumoxes do not have legs.,N,Eagles have legs.,Eagles,Yebs,1,N-alt,Nonsense
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,Eels are not eagles. Eels do not have legs.,N,Eagles have legs.,Eagles,Yebs,1,N-alt,Real
Eagles have legs. A Yeb is an eagle.,A Yeb has legs.,Eagles have a beak.,N,Eagles have legs.,Eagles,Yebs,1,N-prop,Real
Eagles have legs. A peregrine falcon is an eagle. A Yeb is a peregrine falcon.,A Yeb has legs.,A peregrine falcon has legs.,S,Eagles have legs.,Eagles,Yebs,2,S-case,Real
Eagles have legs. Eagles that are injured and have lost their legs are eagles. Yebs are eagles that are injured and have lost their legs.,A Yeb has legs.,Eagles that are injured and have lost their legs do not have legs.,W,Eagles have legs.,Eagles,Yebs,2,W-case,Real
Eagles have legs. A Bafu is an eagle. A Yeb is a Bafu.,A Yeb has legs.,A Bafu has legs,S,Eagles have legs.,Eagles,Yebs,2,S-case,Nonsense
Eagles have legs. A Bafu is an eagle. A Yeb is a Bafu.,A Yeb has legs.,Bafus do not have legs,W,Eagles have legs.,Eagles,Yebs,2,W-case,Nonsense
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Blue-winged teal ducks are ducks. Blue-winged teal ducks eat seeds.,S,Ducks eat seeds.,Ducks,Yebs,1,S-case,Real
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Wumoxes are ducks. Wumoxes eat seeds.,S,Ducks eat seeds.,Ducks,Yebs,1,S-case,Nonsense
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Ducks that are living in a place where there are no seeds are ducks. Ducks that are living in a place where there are no seeds do not eat seeds.,W,Ducks eat seeds.,Ducks,Yebs,1,W-case,Real
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Wumoxes are ducks. Wumoxes do not eat seeds.,W,Ducks eat seeds.,Ducks,Yebs,1,W-case,Nonsense
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Squirrels are not ducks. Squirrels eat seeds.,N,Ducks eat seeds.,Ducks,Yebs,1,S-alt,Real
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Wumoxes are not ducks. Wumoxes eat seeds.,N,Ducks eat seeds.,Ducks,Yebs,1,S-alt,Nonsense
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Wumoxes are not ducks. Wumoxes do not eat seeds.,N,Ducks eat seeds.,Ducks,Yebs,1,N-alt,Nonsense
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Mosquitoes are not ducks. Mosquitoes do not eat seeds.,N,Ducks eat seeds.,Ducks,Yebs,1,N-alt,Real
Ducks eat seeds. Yebs are ducks.,Yebs eat seeds.,Ducks eat other small animals.,N,Ducks eat seeds.,Ducks,Yebs,1,N-prop,Real
Ducks eat seeds. Blue-winged teal ducks are ducks. Yebs are blue-winged teal ducks.,Yebs eat seeds.,Blue-winged teal ducks eat seeds.,S,Ducks eat seeds.,Ducks,Yebs,2,S-case,Real
Ducks eat seeds. Ducks that are living in a place where there are no seeds are ducks. Yebs are ducks that are living in a place where there are no seeds.,Yebs eat seeds.,Ducks that are living in a place where there are no seeds do not eat seeds.,W,Ducks eat seeds.,Ducks,Yebs,2,W-case,Real
Ducks eat seeds. Bafus are ducks. Yebs are Bafus.,Yebs eat seeds.,Bafus eat seeds,S,Ducks eat seeds.,Ducks,Yebs,2,S-case,Nonsense
Ducks eat seeds. Bafus are ducks. Yebs are Bafus.,Yebs eat seeds.,Bafus do not eat seeds,W,Ducks eat seeds.,Ducks,Yebs,2,W-case,Nonsense
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Australian ostriches are ostriches. Australian ostriches have eyes.,S,Ostriches have eyes.,Ostriches,Goqs,1,S-case,Real
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Dofiks are ostriches. Dofiks have eyes.,S,Ostriches have eyes.,Ostriches,Goqs,1,S-case,Nonsense
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Ostriches that are injured and lose their eyes are ostriches. Ostriches that are injured and lose their eyes do not have eyes.,W,Ostriches have eyes.,Ostriches,Goqs,1,W-case,Real
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Dofiks are ostriches. Dofiks do not have eyes.,W,Ostriches have eyes.,Ostriches,Goqs,1,W-case,Nonsense
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,My ex-boyfriend are not ostriches. My ex-boyfriend has eyes.,N,Ostriches have eyes.,Ostriches,Goqs,1,S-alt,Real
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Dofiks are not ostriches. Dofiks have eyes.,N,Ostriches have eyes.,Ostriches,Goqs,1,S-alt,Nonsense
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Dofiks are not ostriches. Dofiks do not have eyes.,N,Ostriches have eyes.,Ostriches,Goqs,1,N-alt,Nonsense
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Worms are not ostriches. Worms do not have eyes.,N,Ostriches have eyes.,Ostriches,Goqs,1,N-alt,Real
Ostriches have eyes. Goqs are ostriches.,Goqs have eyes.,Ostriches have a beak.,N,Ostriches have eyes.,Ostriches,Goqs,1,N-prop,Real
Ostriches have eyes. Australian ostriches are ostriches. Goqs are australian ostriches.,Goqs have eyes.,Australian ostriches have eyes.,S,Ostriches have eyes.,Ostriches,Goqs,2,S-case,Real
Ostriches have eyes. Ostriches that are injured and lose their eyes are ostriches. Goqs are ostriches that are injured and lose their eyes.,Goqs have eyes.,Ostriches that are injured and lose their eyes do not have eyes.,W,Ostriches have eyes.,Ostriches,Goqs,2,W-case,Real
Ostriches have eyes. Yebs are ostriches. Goqs are Yebs.,Goqs have eyes.,Yebs have eyes,S,Ostriches have eyes.,Ostriches,Goqs,2,S-case,Nonsense
Ostriches have eyes. Yebs are ostriches. Goqs are Yebs.,Goqs have eyes.,Yebs do not have eyes,W,Ostriches have eyes.,Ostriches,Goqs,2,W-case,Nonsense
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Flightless ostriches are ostriches. Flightless ostriches have legs.,S,Ostriches have legs.,Ostriches,Wumoxes,1,S-case,Real
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Bafus are ostriches. Bafus have legs.,S,Ostriches have legs.,Ostriches,Wumoxes,1,S-case,Nonsense
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Ostriches that were born without legs (a very rare occurrence) are ostriches. Ostriches that were born without legs (a very rare occurrence) do not have legs.,W,Ostriches have legs.,Ostriches,Wumoxes,1,W-case,Real
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Bafus are ostriches. Bafus do not have legs.,W,Ostriches have legs.,Ostriches,Wumoxes,1,W-case,Nonsense
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Millipedes are not ostriches. Millipedes have legs.,N,Ostriches have legs.,Ostriches,Wumoxes,1,S-alt,Real
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Bafus are not ostriches. Bafus have legs.,N,Ostriches have legs.,Ostriches,Wumoxes,1,S-alt,Nonsense
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Bafus are not ostriches. Bafus do not have legs.,N,Ostriches have legs.,Ostriches,Wumoxes,1,N-alt,Nonsense
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Worms are not ostriches. Worms do not have legs.,N,Ostriches have legs.,Ostriches,Wumoxes,1,N-alt,Real
Ostriches have legs. Wumoxes are ostriches.,Wumoxes have legs.,Ostriches have a long neck.,N,Ostriches have legs.,Ostriches,Wumoxes,1,N-prop,Real
Ostriches have legs. Flightless ostriches are ostriches. Wumoxes are flightless ostriches.,Wumoxes have legs.,Flightless ostriches have legs.,S,Ostriches have legs.,Ostriches,Wumoxes,2,S-case,Real
Ostriches have legs. Ostriches that were born without legs (a very rare occurrence) are ostriches. Wumoxes are ostriches that were born without legs (a very rare occurrence).,Wumoxes have legs.,Ostriches that were born without legs (a very rare occurrence) do not have legs.,W,Ostriches have legs.,Ostriches,Wumoxes,2,W-case,Real
Ostriches have legs. Goqs are ostriches. Wumoxes are Goqs.,Wumoxes have legs.,Goqs have legs,S,Ostriches have legs.,Ostriches,Wumoxes,2,S-case,Nonsense
Ostriches have legs. Goqs are ostriches. Wumoxes are Goqs.,Wumoxes have legs.,Goqs do not have legs,W,Ostriches have legs.,Ostriches,Wumoxes,2,W-case,Nonsense
Swans have feathers. A Goq is a swan.,A Goq has feathers.,A tundra swan is a swan. A tundra swan has feathers.,S,Swans have feathers.,Swans,Goqs,1,S-case,Real
Swans have feathers. A Goq is a swan.,A Goq has feathers.,A Dofik is a swan. A Dofik has feathers.,S,Swans have feathers.,Swans,Goqs,1,S-case,Nonsense
Swans have feathers. A Goq is a swan.,A Goq has feathers.,Swans that have lost their feathers are swans. Swans that have lost their feathers do not have feathers.,W,Swans have feathers.,Swans,Goqs,1,W-case,Real
Swans have feathers. A Goq is a swan.,A Goq has feathers.,A Dofik is a swan. Dofiks do not have feathers.,W,Swans have feathers.,Swans,Goqs,1,W-case,Nonsense
Swans have feathers. A Goq is a swan.,A Goq has feathers.,Ostriches are not swans. Ostriches have feathers.,N,Swans have feathers.,Swans,Goqs,1,S-alt,Real
Swans have feathers. A Goq is a swan.,A Goq has feathers.,A Dofik is not a swan. A Dofik has feathers.,N,Swans have feathers.,Swans,Goqs,1,S-alt,Nonsense
Swans have feathers. A Goq is a swan.,A Goq has feathers.,A Dofik is not a swan. Dofiks do not have feathers.,N,Swans have feathers.,Swans,Goqs,1,N-alt,Nonsense
Swans have feathers. A Goq is a swan.,A Goq has feathers.,Turtles are not swans. Turtles do not have feathers.,N,Swans have feathers.,Swans,Goqs,1,N-alt,Real
Swans have feathers. A Goq is a swan.,A Goq has feathers.,Swans have webbed feet.,N,Swans have feathers.,Swans,Goqs,1,N-prop,Real
Swans have feathers. A tundra swan is a swan. A Goq is a tundra swan.,A Goq has feathers.,A tundra swan has feathers.,S,Swans have feathers.,Swans,Goqs,2,S-case,Real
Swans have feathers. Swans that have lost their feathers are swans. Goqs are swans that have lost their feathers.,A Goq has feathers.,Swans that have lost their feathers do not have feathers.,W,Swans have feathers.,Swans,Goqs,2,W-case,Real
Swans have feathers. A Yeb is a swan. A Goq is a Yeb.,A Goq has feathers.,A Yeb has feathers,S,Swans have feathers.,Swans,Goqs,2,S-case,Nonsense
Swans have feathers. A Yeb is a swan. A Goq is a Yeb.,A Goq has feathers.,Yebs do not have feathers,W,Swans have feathers.,Swans,Goqs,2,W-case,Nonsense
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,A tawny owl is an owl. A tawny owl sits on branches.,S,Owls sit on branches.,Owls,Dofiks,1,S-case,Real
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,A Yeb is an owl. A Yeb sits on branches.,S,Owls sit on branches.,Owls,Dofiks,1,S-case,Nonsense
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,Snowy owls which often sit on the ground are owls. Snowy owls which often sit on the ground do not sit on branches.,W,Owls sit on branches.,Owls,Dofiks,1,W-case,Real
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,A Yeb is an owl. Yebs do not sit on branches.,W,Owls sit on branches.,Owls,Dofiks,1,W-case,Nonsense
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,Squirrels are not owls. Squirrels sit on branches.,N,Owls sit on branches.,Owls,Dofiks,1,S-alt,Real
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,A Yeb is not an owl. A Yeb sits on branches.,N,Owls sit on branches.,Owls,Dofiks,1,S-alt,Nonsense
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,A Yeb is not an owl. Yebs do not sit on branches.,N,Owls sit on branches.,Owls,Dofiks,1,N-alt,Nonsense
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,Platypuses are not owls. Platypuses do not sit on branches.,N,Owls sit on branches.,Owls,Dofiks,1,N-alt,Real
Owls sit on branches. A Dofik is an owl.,A Dofik sits on branches.,Owls sit on top of buildings.,N,Owls sit on branches.,Owls,Dofiks,1,N-prop,Real
Owls sit on branches. A tawny owl is an owl. A Dofik is a tawny owl.,A Dofik sits on branches.,A tawny owl sits on branches.,S,Owls sit on branches.,Owls,Dofiks,2,S-case,Real
Owls sit on branches. Snowy owls which often sit on the ground are owls. Dofiks are snowy owls which often sit on the ground.,A Dofik sits on branches.,Snowy owls which often sit on the ground do not sit on branches.,W,Owls sit on branches.,Owls,Dofiks,2,W-case,Real
Owls sit on branches. A Wumox is an owl. A Dofik is a Wumox.,A Dofik sits on branches.,A Wumox sits on branches,S,Owls sit on branches.,Owls,Dofiks,2,S-case,Nonsense
Owls sit on branches. A Wumox is an owl. A Dofik is a Wumox.,A Dofik sits on branches.,Wumoxes do not sit on branches,W,Owls sit on branches.,Owls,Dofiks,2,W-case,Nonsense
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,A black ostrich is an ostrich. A black ostrich has black feathers.,S,Ostriches have black feathers.,Ostriches,Goqs,1,S-case,Real
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,A Dofik is an ostrich. A Dofik has black feathers.,S,Ostriches have black feathers.,Ostriches,Goqs,1,S-case,Nonsense
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,Ostriches that are newly hatched are ostriches. Ostriches that are newly hatched do not have black feathers.,W,Ostriches have black feathers.,Ostriches,Goqs,1,W-case,Real
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,A Dofik is an ostrich. Dofiks do not have black feathers.,W,Ostriches have black feathers.,Ostriches,Goqs,1,W-case,Nonsense
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,Black-capped chickadees are not ostriches. Black-capped chickadees have black feathers.,N,Ostriches have black feathers.,Ostriches,Goqs,1,S-alt,Real
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,A Dofik is not an ostrich. A Dofik has black feathers.,N,Ostriches have black feathers.,Ostriches,Goqs,1,S-alt,Nonsense
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,A Dofik is not an ostrich. Dofiks do not have black feathers.,N,Ostriches have black feathers.,Ostriches,Goqs,1,N-alt,Nonsense
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,Eels are not ostriches. Eels do not have black feathers.,N,Ostriches have black feathers.,Ostriches,Goqs,1,N-alt,Real
Ostriches have black feathers. A Goq is an ostrich.,A Goq has black feathers.,Ostriches have a beak.,N,Ostriches have black feathers.,Ostriches,Goqs,1,N-prop,Real
Ostriches have black feathers. A black ostrich is an ostrich. A Goq is a black ostrich.,A Goq has black feathers.,A black ostrich has black feathers.,S,Ostriches have black feathers.,Ostriches,Goqs,2,S-case,Real
Ostriches have black feathers. Ostriches that are newly hatched are ostriches. Goqs are ostriches that are newly hatched.,A Goq has black feathers.,Ostriches that are newly hatched do not have black feathers.,W,Ostriches have black feathers.,Ostriches,Goqs,2,W-case,Real
Ostriches have black feathers. A Yeb is an ostrich. A Goq is a Yeb.,A Goq has black feathers.,A Yeb has black feathers,S,Ostriches have black feathers.,Ostriches,Goqs,2,S-case,Nonsense
